id,name,fname,age,city
1,Nasir,Musa,25,Skardu
2,Ali,Shakur,30,Islamabad
id,name,fname,age,city
3,Ahmed,Faraz,21,Karachi
4,Haroon,Baqar,28,Skardu
5,Ali,Sajjad,30,Karachi
id,name,fname,age,city
6,Ali,Ahmed,17,Karachi
7,Hassan,Rashid,21,Lahore
8,Adnan,Hanif,23,Karachi
9,Faizan,Mustafa,18,Lahore
10,Usman,Akram,15,Islamabad
11,Bilal,Javed,19,Karachi
12,Saad,Nadeem,16,Rawalpindi
13,Hamza,Khalid,24,Peshawar
14,Ahmad,Aslam,18,Quetta
15,Danish,Imran,14,Multan
16,Huzaifa,Tariq,22,Karachi
17,Abdullah,Saleem,27,Lahore
18,Zain,Faisal,17,Islamabad
19,Owais,Majid,25,Hyderabad
20,Arslan,Shahid,16,Skardu
21,Rehan,Aziz,29,Peshawar
22,Farhan,Sohail,20,Multan
23,Shahzaib,Waqar,15,Skardu
24,Sameer,Amjad,30,Rawalpindi
25,Shayan,Yousuf,26,Skardu
